string_field_0,string_field_1,string_field_2,string_field_3,string_field_4,string_field_5,string_field_6,string_field_7,string_field_8,string_field_9,string_field_10,string_field_11,string_field_12,string_field_13,string_field_14,string_field_15,string_field_16,string_field_17,string_field_18,string_field_19,string_field_20,string_field_21,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53,string_field_54,string_field_55,string_field_56,string_field_57,string_field_58,string_field_59,string_field_60,string_field_61,string_field_62,string_field_63,string_field_64,string_field_65,string_field_66,string_field_67,string_field_68,string_field_69,string_field_70,string_field_71,string_field_72,string_field_73,string_field_74,string_field_75,string_field_76,string_field_77,string_field_78,string_field_79,string_field_80,string_field_81,string_field_82,string_field_83,string_field_84,string_field_85,string_field_86,string_field_87,string_field_88,string_field_89,string_field_90,string_field_91,string_field_92,string_field_93,string_field_94
countryname,countrycode,seriesname,seriescode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022,yr2023,yr2024,yr2025,yr2026,yr2027,yr2028,yr2029,yr2030,yr2031,yr2032,yr2033,yr2034,yr2035,yr2036,yr2037,yr2038,yr2039,yr2040,yr2041,yr2042,yr2043,yr2044,yr2045,yr2046,yr2047,yr2048,yr2049,yr2050
Afghanistan,AFG,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,178556,182674,185434,187513,189945,193553,197672,202860,208967,215766,222986,229482,236195,242768,248801,253939,261214,267817,272368,273167,269378,266021,259054,250773,244122,241327,231714,226438,226826,234547,250659,263139,283862,308674,332196,350767,372421,388586,401311,413682,427656,438366,450208,461942,472047,479646,489259,496865,502239,505123,505381,498585,489410,479871,472871,471000,..,..,..,..,515000,..,..,..,..,489000,..,..,..,..,497000,..,..,..,..,489000,..,..,..,..,470000,..,..,..,..,452000,..,..,..,..,430000
Afghanistan,AFG,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,177635,181588,185852,190462,195498,201014,205918,211276,217164,223692,230854,237485,244495,251489,258006,263642,271213,278152,283036,284115,280510,277250,270353,262084,255345,252365,242328,236519,236619,244741,262202,275562,298133,325000,349846,368489,391167,407018,418995,431372,446807,459252,474240,489372,501632,509251,518474,523673,525861,526413,526253,519360,511878,504910,500134,499000,..,..,..,..,540000,..,..,..,..,515000,..,..,..,..,523000,..,..,..,..,515000,..,..,..,..,495000,..,..,..,..,476000,..,..,..,..,452000
Afghanistan,AFG,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,162320,171491,169962,173800,177926,182562,188166,191733,197054,203000,209554,217393,222189,228662,234622,239656,246523,252871,257170,257970,254515,253528,245267,237763,231784,229409,226939,215613,216049,223372,238562,252713,269614,292842,314782,331988,349354,366800,378548,390496,404707,421996,430570,444743,457249,466848,477165,485937,491858,495861,498238,500473,490390,485357,481202,479000,..,..,..,..,499000,..,..,..,..,490000,..,..,..,..,492000,..,..,..,..,488000,..,..,..,..,473000,..,..,..,..,454000,..,..,..,..,432000
Afghanistan,AFG,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,165324,171802,173605,178256,183270,188658,195204,198435,203950,210087,216882,225108,230062,236881,243245,248735,256088,262624,267309,268456,265275,264684,256443,249082,243120,240616,237742,225741,225792,233460,250027,265910,284290,309880,333346,350637,367366,385420,395874,407304,422546,441823,452863,470408,485250,495263,506258,512978,516545,518778,520851,521244,513297,509771,506956,505000,..,..,..,..,525000,..,..,..,..,516000,..,..,..,..,518000,..,..,..,..,514000,..,..,..,..,498000,..,..,..,..,478000,..,..,..,..,455000
